iter	Passed	Remaining
0	5	843
1	12	926
2	21	1065
3	39	1439
4	62	1800
5	72	1750
6	81	1673
7	89	1587
8	94	1482
9	101	1414
10	107	1358
11	115	1325
12	123	1300
13	131	1274
14	139	1254
15	147	1232
16	155	1213
17	161	1182
18	168	1162
19	175	1141
20	183	1125
21	190	1110
22	199	1100
23	207	1091
24	213	1069
25	221	1054
26	228	1042
27	236	1029
28	242	1013
29	250	1000
30	257	988
31	264	976
32	271	963
33	277	946
34	283	931
35	291	921
36	299	915
37	305	900
38	311	887
39	319	877
40	325	865
41	332	853
42	340	848
43	347	836
44	354	826
45	363	821
46	371	813
47	377	801
48	383	790
49	388	777
50	394	766
51	399	753
52	406	744
53	414	736
54	421	727
55	427	717
56	432	706
57	438	695
58	443	684
59	448	672
60	454	663
61	460	653
62	467	645
63	473	636
64	479	627
65	485	617
66	491	609
67	498	601
68	506	594
69	512	586
70	519	577
71	527	570
72	533	563
73	541	555
74	547	547
75	553	539
76	558	529
77	566	522
78	570	513
79	575	503
80	582	496
81	589	488
82	594	480
83	598	469
84	601	460
85	607	452
86	614	445
87	621	437
88	627	429
89	633	422
90	638	414
91	643	405
92	647	397
93	652	388
94	658	381
95	663	372
96	666	364
97	671	356
98	678	349
99	682	341
100	689	334
101	697	328
102	702	320
103	706	312
104	711	304
105	714	296
106	719	289
107	726	282
108	733	276
109	736	267
110	740	260
111	744	252
112	750	245
113	756	238
114	763	232
115	769	225
116	776	218
117	780	211
118	785	204
119	791	197
120	795	190
121	799	183
122	805	176
123	813	170
124	819	163
125	824	157
126	830	150
127	834	143
128	840	136
129	846	130
130	851	123
131	856	116
132	860	109
133	864	103
134	868	96
135	874	89
136	878	83
137	884	76
138	888	70
139	892	63
140	896	57
141	902	50
142	906	44
143	910	37
144	915	31
145	919	25
146	925	18
147	931	12
148	936	6
149	940	0
